response_ID;Stadsdeel;Contact_gehad;freqcontact;Categorie_contact;Totstand;polben_Controlestraat;polben_Controleverkeer;polben_Verkeerdstraat;polben_Verkeerdverkeer;polben_Praatje;polben_Anders;polben_geenantwoord;Polben_hulp;Polben_thuis;Polben_uiterlijk;Polben_overig;Polben_bevragen;Polben_verdacht;Polben_locatie;Polben_aansprekenvriend;Polben_informatiegeven;Polben_teruggeven;Polben_verkeersongeval;Polben_arrestatie;stel_terecht;Onterecht_niksverkeerd;Onterecht_etniciteit;Onterecht_onschuldig;Onterecht_niksverkeerdverkeer;Onterecht_nietenige;Onterecht_Overig;Onterecht_onterecht;Onterecht_onduidelijk;Onterecht_overlast;Onterecht_nietingevuld;Onterecht_onbeleefdagent;stel_achtergrond;polben_gevolg_niets;polben_gevolg_waarschuwing;polben_gevolg_arrestatie;polben_gevolg_bekeuring;polben_gevolg_anders;polben_gevolg_nvt;polben_gevolg_geenantwoord;polben_gevolg_praatjemaken;polben_gevolg_controle;polben_gevolg_info;polben_gevolg_weggerend;polben_gevolg_staande;polben_gevolg_beslag;pobent_gevolg_overig;pobent_gevolg_hulp;waarom_zelfben;stel_beleefd;stel_luisteren;stel_rechtvaardig;rapportcijfer;Geslacht;Leeftijd;Leeftijdscategorie;Herkomst_def;opleidingnu_nee;opleidingnu_LBO_VMBO;opleidingnu_MAVO_VMBO_ULO_MULO;opleidingnu_HAVO_VWO_HBS_MMS;opleidingnu_MBO_BOL_BBL;opleidingnu_HBO;opleidingnu_WO;opleidingnu_anders;opleidingnu_nietzeggen;opleidingnu_geenantwoord;hoogstafgerond;stel_rondkomen
50079621;3;1;20;4;3;99999;99999;99999;99999;99999;1;99999;0;0;0;1;0;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;6;6;10;1;62;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;5
49907775;8;1;4;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;99999;2;0;1;0;0;0;0;0;0;0;0;0;5;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;2;3;4;1;99999;99999,00;7,00;99999;99999;99999;1;99999;99999;99999;99999;99999;99999;4;6
50079984;8;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;4;6;6;4;2;99999;99999,00;4,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;6;6
50558233;7;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;1;99999;0;1;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;1;1;7;2;64;4,00;8,00;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;7;1
50158833;8;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;99999;6;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;0;0;99999;0;1;0;0;1;0;0;0;0;0;0;0;99999;5;5;5;8;2;62;4,00;4,00;99999;99999;99999;99999;99999;99999;99999;1;99999;99999;4;4
50255814;3;1;99999;99999;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;6;2;59;4,00;1,00;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;8;6
50665339;3;1;2;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;1;6;1;59;4,00;4,00;99999;99999;99999;99999;99999;99999;99999;1;99999;99999;2;1
49699553;7;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;0;0;99999;0;1;0;0;0;0;1;0;0;0;0;0;99999;4;4;4;7;2;38;3,00;6,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;7;4
49908126;2;1;10;4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;0;0;99999;0;1;0;0;0;0;1;0;0;0;0;0;99999;4;5;4;7;1;31;2,00;8,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;5;1
50786946;3;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;4;7;2;28;2,00;3,00;99999;99999;1;99999;99999;99999;99999;99999;99999;99999;3;4
